ID,Year,CO2Max,PopulationMax
1,1990,Luxembourg,China
2,1991,Qatar,China
3,1992,Qatar,China
4,1993,Qatar,China
5,1994,Qatar,China
6,1995,Qatar,China
7,1996,Qatar,China
8,1997,Qatar,China
9,1998,Qatar,China
10,1999,Qatar,China
11,2000,Qatar,China
12,2001,Qatar,China
13,2002,Qatar,China
14,2003,Qatar,China
15,2004,Qatar,China
16,2005,Qatar,China
17,2006,Qatar,China
18,2007,Qatar,China
19,2008,Qatar,China
20,2009,Qatar,China
21,2010,Qatar,China
22,2011,Qatar,China
23,2012,Qatar,China
24,2013,Qatar,China
25,2014,Qatar,China
26,2015,Qatar,China
27,2016,Qatar,China
28,2017,Qatar,China
29,2018,Qatar,China
30,2019,Qatar,China
31,2020,Qatar,China